,name,mAP
622,"(11, 40, 60)",68.52014106007287
623,"(9, 37, 73)",68.65387462992355
624,"(30, 39, 43)",68.39705465732246
625,"(2, 22, 48)",68.72717946319693
626,"(0, 38, 66)",68.48705944179146
627,"(35, 43, 70)",68.61091849838922
628,"(28, 33, 34)",68.57986997174075
629,"(1, 10, 43)",68.55371997978308
630,"(27, 30, 74)",68.61696409425203
631,"(16, 18, 23)",68.70910646645434
632,"(10, 21, 66)",68.68836724293277
633,"(2, 6, 40)",68.41365061741185
634,"(12, 24, 25)",68.53850052720472
635,"(3, 10, 21)",68.59567284859767
636,"(34, 62, 74)",68.72734145306532
637,"(29, 41, 50)",68.67056068265858
638,"(3, 16, 18)",68.46630254823715
639,"(46, 60, 67)",68.67357071533603
640,"(28, 43, 74)",68.43989880873438
641,"(10, 63, 70)",68.80669918189848
642,"(31, 40, 59)",68.55268966570426
643,"(4, 16, 37)",68.7081335315482
644,"(21, 57, 65)",68.79358280563902
645,"(14, 51, 55)",68.77375485410258
646,"(6, 49, 54)",68.82833773602337
647,"(24, 41, 47)",68.66600198578475
648,"(3, 40, 48)",68.33664861997669
649,"(14, 34, 53)",68.72043383779001
650,"(23, 42, 43)",68.47349435990962
651,"(27, 36, 59)",68.78720206847487
652,"(37, 55, 65)",68.76303262652405
653,"(17, 30, 73)",68.5182058249778
654,"(10, 21, 57)",68.80735751288253
655,"(8, 37, 44)",68.51867270227203
656,"(51, 54, 73)",68.77282438142859
657,"(12, 48, 57)",68.80189626843654
658,"(40, 44, 56)",68.2866691872844
659,"(17, 22, 71)",68.7497700207352
660,"(23, 24, 72)",68.72491709188114
661,"(9, 24, 29)",68.62146616814606
662,"(48, 59, 61)",68.78144809441716
663,"(13, 16, 44)",68.62642808015266
664,"(36, 61, 74)",68.73952624450024
